Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
"Process of designing robust, dependable, safe and secure software for medical devices: Point of care testing device as a case study",Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Searching for optimal configurations within large-scale models: a cloud computing domain,Forward,not accessible,,Managing emerging configuration dependencies in multi product lines,,
An infrastructure for the life cycle management of multi product lines,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Constraint checking in distributed product configuration of multi product lines,Forward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Monitoring system-of-systems requirements in multi product lines,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Towards managing data variability in multi product lines,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Actor in Multi Product Line,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Gisp: A transparent superpage support framework for linux,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Secure expandable communication framework for POCT system development and deployment,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Multi-Model Dashboard: making interdisciplinary dependencies explicit in complex systems engineering environments,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
The CVM framework – a prototype tool for compositional variability management,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
A view of 20th and 21st century software engineering,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Towards an architectural viewpoint for systems of software intensive systems,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Are ultra-large systems systems of systems?,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Staged configuration through specialization and multi-level configuration of feature models,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Supporting collaborative software development through the visualization of socio-technical dependencies,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Structuring the modeling space and supporting evolution in software product line engineering,Backward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Consistent product line configuration across file type and product line boundaries,Backward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Product line bundles to support product derivation in multi product lines,Backward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Usability engineering methods for software developers,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Separation of concerns in feature diagram languages: A systematic survey,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Improving awareness during product derivation in multi-user multi product line environments,Backward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Challenges in software product line composition,Backward,relevant,,Managing emerging configuration dependencies in multi product lines,,
